[2026-04-04 11:15:37] POS(36,44) | BAT(20%) | STATUT: VIDE
[2026-04-04 11:15:38] POS(37,44) | BAT(19%) | STATUT: VIDE
[2026-04-04 11:15:39] POS(38,44) | BAT(18%) | STATUT: TRESOR
[2026-04-04 11:15:40] POS(39,44) | BAT(17%) | STATUT: VIDE
[2026-04-04 11:15:41] POS(40,44) | BAT(16%) | STATUT: VIDE
[2026-04-04 11:15:42] POS(41,44) | BAT(15%) | STATUT: VIDE
[2026-04-04 11:15:43] POS(41,45) | BAT(14%) | STATUT: VIDE
[2026-04-04 11:15:44] POS(41,46) | BAT(13%) | STATUT: VIDE
[2026-04-04 11:15:45] POS(41,47) | BAT(12%) | STATUT: VIDE
[2026-04-04 11:15:46] POS(41,48) | BAT(11%) | STATUT: VIDE
[2026-04-04 11:15:47] POS(41,49) | BAT(10%) | STATUT: VIDE
[2026-04-04 11:15:48] POS(41,50) | BAT(9%) | STATUT: VIDE
[2026-04-04 11:15:49] POS(41,51) | BAT(8%) | STATUT: VIDE
[2026-04-04 11:15:50] POS(41,52) | BAT(7%) | STATUT: VIDE
[2026-04-04 11:15:56] POS(41,52) | BAT(7%) | STATUT: DÉBUT_RECHARGE
[2026-04-04 11:16:09] POS(41,52) | BAT(20%) | STATUT: RECHARGE_EN_COURS
[2026-04-04 11:16:29] POS(41,52) | BAT(40%) | STATUT: RECHARGE_EN_COURS
[2026-04-04 11:16:49] POS(41,52) | BAT(60%) | STATUT: RECHARGE_EN_COURS
[2026-04-04 11:17:09] POS(41,52) | BAT(80%) | STATUT: RECHARGE_EN_COURS
[2026-04-04 11:17:29] POS(41,52) | BAT(100%) | STATUT: RECHARGE_EN_COURS
[2026-04-04 11:17:29] POS(41,52) | BAT(100%) | STATUT: RECHARGE_TERMINÉE
[2026-04-04 11:36:03] POS(42,52) | BAT(99%) | STATUT: VIDE
[2026-04-04 11:36:04] POS(43,52) | BAT(98%) | STATUT: VIDE
[2026-04-04 11:36:05] POS(44,52) | BAT(97%) | STATUT: VIDE
[2026-04-04 11:36:06] POS(45,52) | BAT(96%) | STATUT: VIDE
[2026-04-04 11:36:07] POS(45,53) | BAT(95%) | STATUT: VIDE
